 Nascidos vivos - Brasil
Nascim p/ocorrênc por Ano do nascimento e Unidade da Federação
Período:1994-2018
"Ano do nascimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";29597;11421;47768;4301;92604;10112;20659;56457;34075;87243;30224;35060;144199;51575;36825;140757;61128;53809;269384;690986;201014;85812;188605;45013;36144;56341;50458;2571571
"1995";29134;12289;47950;7016;96578;11246;22355;53892;40432;118881;60346;26057;162384;65913;41020;162181;121826;59093;267673;692900;195652;99084;188269;45060;48832;91554;57112;2824729
"1996";32281;13825;49177;7368;99525;13285;24473;58787;41121;117228;58169;49689;158147;64187;43053;197073;174720;55075;269494;699641;196282;100828;181953;43325;49856;90093;56770;2945425
"1997";30131;14748;56071;8097;109196;13737;25978;73269;34217;135537;57416;40410;153396;65535;43530;229598;191412;59609;269953;700831;193124;97733;180832;43283;50220;90082;58713;3026658
"1998";31026;13296;57140;8212;116964;13730;26126;76526;49246;139648;57749;52484;160125;63965;42635;235422;295293;57755;258845;693615;185736;95937;177561;41733;48634;88869;59765;3148037
"1999";31176;14981;62000;9638;126859;13607;26976;94089;51637;142635;58249;55062;163043;64246;42112;244011;306870;60602;269079;714599;187400;98334;184814;41512;48589;84793;59520;3256433
"2000";31366;15328;67597;9700;126686;13966;26406;98466;61210;142408;56578;57807;161169;64298;41474;242597;299558;58147;259659;688179;179647;94945;176469;40361;49401;85318;58021;3206761
"2001";28268;15029;70197;9573;134009;14827;27102;106321;60714;148930;53657;65179;162182;66231;39803;239870;298080;56386;242783;632583;167486;87950;160493;39939;47605;84933;55344;3115474
"2002";29334;16000;70596;8913;135120;14606;26297;116029;57874;143109;53343;63838;155018;63113;38031;239655;284342;54662;232615;623176;165140;85731;155186;39890;47744;84475;55565;3059402
"2003";28939;16221;70611;10082;143742;15236;26297;125811;57192;139966;52499;63671;151591;61379;37993;240187;284765;52984;232566;610602;157324;83126;149128;39085;48583;82449;56222;3038251
"2004";29071;16872;71153;9681;142243;14261;25758;123833;57306;137353;50976;61702;149878;57422;37095;235337;277453;53024;230195;618145;159785;85186;153021;41378;51152;81642;55626;3026548
"2005";28135;17832;73239;9583;144722;14508;26495;128064;59384;140234;52459;63355;152230;59159;37848;232844;276651;52334;223286;619467;160233;84298;147303;41125;52318;82089;55899;3035094
"2006";24932;16743;75405;9598;149274;15196;26117;125146;57867;135105;48323;59193;146339;55968;37941;221448;265115;51439;218586;604385;153465;83986;141576;39309;49421;77683;55368;2944928
"2007";23007;16568;73153;9581;149157;14903;25089;124652;55805;134026;48444;58068;142889;55722;36920;222153;258469;50870;217070;596454;147539;81750;133568;38378;47325;75900;53868;2891328
"2008";26787;18478;74670;10092;149965;15838;25721;125693;55360;134063;50246;60566;145124;56697;37826;222843;259924;51674;215992;602911;151039;85169;135274;41045;49760;77956;54115;2934828
"2009";26081;17395;75332;9676;141786;15218;24766;121154;53560;131380;49445;58740;143397;54051;36256;217335;251826;51284;216799;599546;149179;83337;133828;39979;48422;77549;54260;2881581
"2010";25858;16983;73777;9724;139208;15946;24369;117179;51971;128896;48217;57610;138242;52812;35264;211195;254438;51615;215437;602420;152009;84423;133424;39805;48822;77039;55185;2861868
