 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Unidade da Federação
Imuno: 072 BCG
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";41356;8417;32376;7463;142918;-;-;119778;65186;188430;59231;-;166185;-;-;316596;-;54784;-;-;-;119295;-;-;54128;66630;-;1442773
"1995";37582;15209;64859;9129;165165;9853;-;156901;78481;217161;57094;53389;206072;57355;46445;231238;-;60809;281375;735265;154457;121155;191991;-;58319;108401;720;3118425
"1996";39713;11755;70259;9221;168961;12964;27987;154758;68633;219717;54767;70470;206440;55313;46674;234200;-;60315;233867;739514;201168;111866;184503;46526;58633;103246;59238;3250708
"1997";35505;12384;72388;9237;174889;10189;29557;153225;63535;215827;57042;77338;211107;59381;46970;261086;301189;60761;294463;795671;202587;108326;179670;49702;60070;102276;65566;3709941
"1998";37018;13242;73559;8929;128708;12649;31092;155751;64898;166888;52126;72826;204655;65099;47963;270508;280525;63702;284553;793238;207542;90682;174635;47573;57271;101776;60820;3568228
"1999";34723;13272;81282;10290;154564;16823;32959;161104;68361;201012;59916;76334;217701;75639;49143;277616;338945;66231;310112;801618;201381;96205;190636;48854;56287;106840;65233;3813081
"2000";34654;17101;84148;18261;162481;16755;31203;163096;68393;193388;58329;72677;203858;78991;46739;289827;372241;61956;282577;759875;199414;100736;181810;49227;60344;103027;61784;3772892
"2001";35213;20105;84517;10048;183776;26502;32660;172299;68485;185396;57418;80286;194924;73659;44729;311442;327789;60841;258744;701361;187968;91855;167780;48083;57838;102643;57632;3643993
"2002";32122;21053;85867;10510;200764;18320;30838;169504;64959;175195;60832;75091;193289;81899;38982;286698;313831;59804;256191;678785;176326;88098;160980;45898;57283;105909;53535;3542563
"2003";31107;19352;89590;10705;197849;18241;28417;172918;60956;165587;59280;73423;191131;78389;38632;287888;300026;58773;257794;664327;166607;84833;154845;42407;56180;102451;53340;3465048
