 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Unidade da Federação
Imuno: 072 BCG
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";93,86;61,01;41,00;99,64;84,18;...;...;66,55;99,20;104,65;101,77;...;84,38;...;...;109,49;...;94,31;...;...;...;112,64;...;...;78,75;56,81;...;88,29
"1995";101,12;110,92;88,38;129,05;107,88;94,46;...;104,50;117,83;133,83;98,10;68,26;121,43;82,07;119,02;81,27;...;103,09;120,92;110,55;80,39;114,28;102,81;...;100,39;115,33;1,70;103,62
"1996";104,31;84,33;112,77;126,51;107,83;118,90;101,56;100,79;100,88;133,29;91,84;88,69;119,72;77,34;116,50;80,58;...;99,67;97,88;111,18;103,76;102,46;96,65;101,50;98,14;108,30;136,31;104,19
"1997";120,42;95,83;109,65;129,41;118,54;88,07;112,98;118,82;106,74;131,62;102,44;110,13;138,95;89,31;124,60;102,44;94,43;112,42;129,97;132,00;110,91;115,99;106,21;120,67;119,89;108,98;146,75;117,12
"1998";122,22;99,73;108,68;122,06;85,43;104,39;115,70;118,90;108,22;100,44;92,47;103,05;133,72;96,86;125,01;105,02;86,92;116,11;124,32;131,59;112,12;94,49;102,25;113,70;112,27;105,67;159,36;111,61
"1999";113,72;97,32;117,20;137,46;100,51;132,84;119,50;122,25;113,31;119,40;105,02;107,34;141,20;111,97;125,90;106,50;103,83;118,95;134,13;128,76;107,37;100,09;110,23;114,96;107,83;108,16;162,78;117,28
"2000";111,60;112,32;118,46;187,41;103,54;117,68;110,23;122,28;112,58;113,38;103,37;101,55;124,76;116,01;114,80;109,95;112,72;106,13;109,09;110,70;111,17;106,23;102,88;121,58;113,33;108,76;128,74;111,74
"2001";114,36;134,96;108,31;104,68;118,34;181,41;122,08;122,47;116,52;118,81;107,28;121,52;118,78;111,00;112,29;117,46;102,86;106,58;106,79;111,03;112,38;104,27;104,48;120,00;115,54;110,42;122,91;112,60
"2002";102,43;132,91;107,78;116,91;127,04;129,05;113,06;118,94;109,56;110,69;114,24;112,80;123,86;122,14;105,13;107,19;97,29;108,58;110,33;108,99;106,78;102,76;103,68;114,94;112,31;112,81;116,89;110,28
"2003";97,42;121,07;109,89;105,42;122,87;123,55;102,09;119,88;101,91;103,20;113,32;109,52;126,01;115,74;104,74;106,68;91,92;110,03;111,00;108,87;105,89;101,99;103,81;108,05;108,02;111,28;115,71;108,47
"2004";106,60;116,13;118,64;97,50;128,59;121,20;109,27;129,81;113,52;115,70;111,53;120,51;121,69;123,39;107,35;123,28;108,04;110,09;109,32;109,14;104,83;103,76;101,99;99,81;111,56;121,32;115,74;113,36
"2005";109,69;110,46;130,49;107,16;146,91;123,56;110,81;132,83;108,98;118,57;112,21;125,97;117,31;118,76;104,81;124,43;108,89;108,75;115,50;106,30;104,32;103,14;103,22;102,71;113,86;116,34;109,26;114,48
"2006";121,15;116,02;127,52;115,45;140,16;121,68;111,61;138,46;109,07;110,12;117,69;125,87;116,60;117,42;106,32;119,03;106,77;106,40;113,78;104,46;104,35;101,15;102,08;104,31;111,97;117,71;112,04;113,06
"2007";114,13;122,55;125,35;103,53;136,53;113,26;109,12;141,55;107,05;112,81;113,38;124,46;114,41;110,48;104,82;114,16;104,74;100,20;110,81;101,67;102,85;100,83;100,32;105,88;117,62;119,46;106,67;111,08
"2008";105,86;108,57;121,18;95,06;127,68;115,66;107,30;134,02;106,17;107,02;108,39;123,87;113,27;101,06;104,40;106,30;103,68;100,79;108,64;104,30;102,97;100,88;98,94;102,39;112,73;119,52;107,92;108,91
"2009";107,64;109,37;120,83;101,81;128,81;115,77;104,01;132,63;104,48;108,08;110,28;118,19;112,83;113,67;101,53;106,66;103,35;101,14;109,58;102,51;103,68;102,37;99,16;104,29;111,47;115,63;111,11;108,71
"2010";102,79;114,23;115,98;113,21;124,65;115,69;100,84;125,32;101,87;106,60;113,18;110,46;107,59;101,57;90,89;106,29;102,08;106,86;108,29;101,55;103,82;103,68;96,44;105,23;98,65;118,33;113,36;106,71
"2011";105,79;109,63;117,27;115,06;120,12;111,74;102,60;122,77;100,07;105,98;119,20;113,41;110,45;99,87;98,60;105,24;102,88;103,27;114,04;103,72;106,53;106,70;101,20;107,48;105,01;120,18;98,39;107,94
"2012";106,12;105,00;124,16;118,08;113,62;105,80;98,29;114,07;96,75;103,02;112,51;108,66;106,89;107,00;92,28;99,27;103,34;103,12;107,57;104,01;103,92;104,28;101,24;105,36;107,44;112,78;106,51;105,69
"2013";108,15;106,16;116,92;94,17;117,68;117,07;92,02;113,39;96,50;108,63;109,15;112,35;105,68;112,47;96,61;101,39;104,06;104,68;106,95;103,65;110,00;102,22;110,88;113,25;106,72;116,43;133,19;107,42
"2014";110,07;104,59;120,39;103,97;114,80;118,80;103,00;108,16;96,50;107,40;108,15;111,91;108,55;108,03;99,77;101,28;100,85;105,52;113,30;103,46;107,97;107,93;105,10;129,71;111,78;115,49;113,52;107,28
"2015";110,77;105,90;110,79;110,55;94,87;121,56;107,48;103,64;86,27;114,62;105,90;105,73;110,06;102,18;105,80;102,89;102,41;102,26;115,06;102,20;105,66;110,14;103,74;129,60;109,26;105,30;78,27;105,08
"2016";104,90;99,23;95,87;107,95;81,62;113,86;99,23;90,11;83,90;108,82;89,26;97,27;98,90;104,97;97,11;84,07;89,41;90,61;106,29;94,33;94,11;102,01;94,42;106,14;96,55;92,31;138,11;95,55
"2017";98,38;95,75;93,81;116,86;84,67;97,17;105,14;98,67;96,09;108,49;66,48;102,56;97,30;110,27;97,86;86,19;93,60;90,46;114,98;100,51;95,73;85,25;91,54;105,94;95,96;91,39;98,58;97,12
"2018";93,33;100,66;96,99;136,35;83,70;102,66;102,35;100,62;97,47;103,39;106,87;104,93;106,15;111,65;103,21;83,44;99,16;99,75;104,79;99,08;94,38;91,49;88,78;107,54;105,00;93,14;89,95;97,72
"2019";53,21;59,42;58,92;73,98;46,52;61,16;69,91;50,05;50,07;55,74;43,64;57,73;58,24;59,95;51,69;46,12;58,91;56,05;34,15;50,70;62,59;55,95;58,38;64,34;51,10;58,19;63,77;52,95
"Total";105,11;105,54;107,99;113,28;110,41;114,84;105,64;113,24;102,40;110,81;103,03;107,00;113,25;104,94;105,00;101,74;99,21;102,42;109,54;105,87;102,36;101,36;99,84;108,57;104,36;106,01;111,33;105,82
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

