 Nascidos vivos - Brasil
Nascim p/resid.mãe por Ano do nascimento e Unidade da Federação
Período:1994-2018
"Ano do nascimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";29557;12127;47780;4302;92213;10859;20140;58518;32293;87021;30328;35026;143738;51985;36856;141343;62144;54194;268173;689577;201530;85531;188666;45213;35736;63583;43138;2571571
"1995";28984;12635;47966;7020;96159;12123;22126;56387;38209;119228;59886;26642;161290;66642;40316;163494;122796;59790;266463;691370;195838;98776;188351;45425;48581;100794;47438;2824729
"1996";32233;14236;49112;7378;99173;14033;24086;61056;39142;117264;57744;50115;156509;65225;42055;198253;175943;55642;268549;699013;196429;100310;182140;43484;50052;99482;46767;2945425
"1997";30070;14778;56070;8101;109095;14319;25562;75392;32422;135356;57088;40419;152932;67085;42416;229256;192014;60188;268968;701947;192757;97717;180760;43420;50335;101336;46855;3026658
"1998";30964;13291;57180;8223;116551;14450;25673;79272;46753;139743;57394;52278;161249;65332;41525;234630;295364;58526;258284;693413;185378;96123;177538;41917;49042;99526;48418;3148037
"1999";31077;14939;62037;9669;127417;13592;26498;96587;49436;143101;57937;54510;164601;65517;41118;242721;307751;60800;268213;714428;186675;98854;184797;41859;48933;94017;49349;3256433
"2000";31307;15228;67646;9744;126340;14238;26205;100811;58615;143393;56444;57427;163405;65763;40716;239530;300958;58380;259118;687779;179462;94828;176719;40490;49478;94746;47991;3206761
"2001";28236;14899;70252;9600;134742;14609;27050;108527;58588;149067;53526;64957;164104;67805;39842;235725;298538;57092;242360;632483;167270;88097;160590;40070;47575;92979;46891;3115474
"2002";29236;15841;70671;8990;136000;14196;26274;117917;56332;143242;53250;64006;156053;64457;37085;237375;284558;55076;232232;623302;165125;85730;155261;39933;47564;93897;45799;3059402
"2003";28809;15986;70751;10160;144812;14764;26053;127920;55105;140083;52312;64115;151677;63032;36884;239017;284904;53417;232255;610555;157333;83177;149165;39248;48539;92081;46097;3038251
"2004";28927;16584;71345;9742;142894;13971;25673;126518;54747;137335;50805;62200;149631;59258;35827;234454;277691;53243;229901;618080;159636;85475;153015;41567;51205;91231;45593;3026548
"2005";28081;17482;73488;9694;145540;14205;26368;130266;56866;140035;52330;64294;152095;60662;37370;231065;277468;52399;223094;618880;160324;84584;147199;41424;52410;91556;45917;3035096
"2006";24925;16448;75584;9592;150202;14714;26028;127724;55342;135020;48122;60232;146108;57510;37061;220187;266143;51449;218435;603368;153598;84133;141331;39515;49522;87483;45152;2944928
"2007";22996;16183;73469;9582;150147;14425;25011;127307;53214;133839;48072;59456;143095;57406;35801;220398;259505;51020;216876;595408;147554;81903;133401;38621;47382;85159;44098;2891328
"2008";26791;17994;75030;10103;151262;15105;25713;128302;52664;133917;49817;61964;145195;58076;36633;221700;260916;51852;215844;601795;151092;85262;135143;41229;49794;87462;44173;2934828
"2009";26083;16892;75729;9673;143140;14298;24911;123635;50996;131393;48931;60021;141815;55471;35109;217727;252676;51457;216625;598473;149217;83489;133652;40274;48477;87485;43932;2881581
"2010";25835;16495;74188;9738;140687;15008;24471;119566;49424;128831;47668;58699;136591;54164;34016;212201;255126;51853;215262;601352;152051;84611;133243;40132;48929;87476;44251;2861868
"2011";27658;17817;76202;9945;141974;15114;25035;121109;50144;128592;48101;58741;140079;54281;34925;215032;259863;53053;220603;610222;152902;87481;137710;42152;51218;89742;43465;2913160
"2012";26513;16700;77434;10601;137837;14895;24395;116039;47962;126868;46993;56770;141382;52510;34108;209999;260544;52835;222859;616608;153945;88772;138941;42252;51256;93274;43497;2905789
"2013";27097;17075;79041;10814;139416;15710;24119;115000;46419;124876;46798;56854;141453;52488;34228;203342;258635;54065;224031;610896;155758;89875;141350;42296;53039;94822;44530;2904027
"2014";27560;17139;81145;11120;143503;16271;24944;117071;47941;128681;48111;57535;143489;51859;34369;204034;267130;56548;233584;625687;159915;93232;143315;44058;56499;99798;44721;2979259
"2015";27918;16980;80097;11412;143657;15750;25110;117564;49253;132516;49099;59089;145024;52257;34917;206655;268305;56941;236960;634026;160947;97223;148359;44142;56673;100672;46122;3017668
"2016";26602;15773;76703;11376;137681;15521;23870;110493;46986;126246;45366;56083;130733;48164;32218;199830;253520;53413;219129;601437;155066;95313;141411;42432;53531;95563;43340;2857800
"2017";27503;16358;78066;11737;138684;15399;24935;112985;48551;127797;46222;57493;135932;50368;33867;204096;260959;55846;223224;611803;157701;98335;141568;44747;57271;97520;44568;2923535
"2018";28091;16543;78087;13344;141819;15864;25480;117156;49490;131491;48107;60205;138317;52496;34256;205332;263640;56721;220499;606146;156201;99609;140047;44275;58649;98872;44195;2944932
"Total";703053;396423;1745073;241660;3330945;363433;625730;2693122;1226894;3284935;1260451;1399131;3706497;1459813;923518;5367396;6267091;1375800;5901541;15898048;4153704;2268440;3853672;1050175;1261690;2320556;1136297;74215088
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
